Name,Year,Team,Split_position,final_position,final_position_spec,final_hier_num,TotalYearsInNFL,Past5yrsWinningPerc_best,Past5yrsWinningPerc_avg,HC,Coord,cumul_emb0,cumul_emb1,cumul_emb2,cumul_emb3,cumul_emb4,cumul_emb5,cumul_emb6,cumul_emb7,no_node_emb
Kevin Ramsey,2002,Arizona Cardinals (NFL),defensive backs,D,Sec,3,2,0.0,0.0,0,0,-0.5624426603317261,0.009523996151983738,-0.18516060709953308,0.10140912979841232,0.5929316878318787,1.6160213947296145,-0.7635627388954163,-0.5252127051353455,0
Larry Marmie,2002,Arizona Cardinals (NFL),defensive coordinator,DC,DC,2,6,0.0,0.0,0,1,-0.6608441472053528,-0.1052035391330719,0.16713370382785794,-0.3628577888011933,0.08863411843776703,1.3453171253204346,-0.32279667258262634,0.0537971518933773,0
Joe Greene,2002,Arizona Cardinals (NFL),defensive line,D,DL,3,15,0.0,0.0,0,0,-0.09742571413516997,-0.8519963622093201,-1.092864990234375,-0.08518703281879425,0.34875115752220154,-0.19399228692054749,-0.22346165776252747,0.7808675169944763,0
Dave McGinnis,2002,Arizona Cardinals (NFL),head coach,HC,HC,1,16,0.562,0.333,1,0,-0.700934112071991,0.18187913298606875,0.021059174090623856,-0.4754187762737274,0.6611672043800354,1.085721135139465,-0.2001626342535019,0.04739677533507347,0
Jeff FitzGerald,2002,Arizona Cardinals (NFL),linebackers,D,LB,3,8,0.0,0.0,0,0,-0.5256032347679138,-0.022897932678461075,0.08733909577131271,-0.5700212121009827,0.3132852017879486,1.0737736225128174,-0.43289288878440857,-0.027185751125216484,0
Rich Olson,2002,Arizona Cardinals (NFL),offensive coordinator,OC,OC,2,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
George Warhop,2002,Arizona Cardinals (NFL),offensive line,O,OL,3,6,0.0,0.0,0,0,-0.18422099947929385,-0.4819381237030029,0.4177547991275787,-0.33220812678337097,0.3008778691291809,1.0618511438369749,-0.914027214050293,-0.2820087671279907,0
Geep Chryst,2002,Arizona Cardinals (NFL),quarterbacks,O,QB,3,6,0.0,0.0,0,0,-0.3608922958374024,-0.6272011995315552,-0.2394053786993027,-0.13022983074188232,0.07054544985294342,1.3529499769210815,-0.3576750159263611,0.07091883569955826,0
Johnny Roland,2002,Arizona Cardinals (NFL),running backs,O,RB,3,23,0.0,0.0,0,0,-0.4981717169284821,-0.4768315553665161,0.40739956498146057,-0.16400426626205444,0.6840007901191711,0.8412182927131653,-0.06429970264434813,0.15900349617004395,0
Pete Hoener,2002,Arizona Cardinals (NFL),tight ends,O,TE,3,1,0.0,0.0,0,0,-0.4737827181816101,-0.4921271502971649,0.5169541239738464,0.11087684333324432,0.4509325623512268,1.9041181802749636,-0.4998903274536133,0.25583845376968384,0
Jerry Sullivan,2002,Arizona Cardinals (NFL),wide receivers,O,WR,3,10,0.0,0.0,0,0,-0.4545228183269501,-0.4397152066230774,-0.392852246761322,-0.14439627528190613,0.05449656769633293,0.8546047806739807,-0.0617181807756424,0.21029281616210935,0
Ron Milus,2003,Arizona Cardinals (NFL),defensive backs,D,Sec,3,3,0.562,0.562,0,0,-0.26370400190353394,-0.1501784324645996,1.201820969581604,0.5581692457199097,0.8886386156082153,0.2875860929489136,0.0382484495639801,1.66174054145813,0
